case_num,px1,py1,gx1,gy1,px2,py2,gx2,gy2,px3,py3,gx3,gy3,px4,py4,gx4,gy4,
1,-2.66,-2.84,2.66,2.84,-3.60,0.16,3.60,-0.16,3.77,0.75,-3.77,-0.75,1.89,-3.11,-1.89,3.11,
2,-1.62,3.45,1.62,-3.45,-4.10,1.39,4.10,-1.39,-2.68,3.31,2.68,-3.31,-3.15,-2.40,3.15,2.40,
3,2.72,2.81,-2.72,-2.81,-3.51,-2.49,3.51,2.49,-2.86,2.85,2.86,-2.85,-2.44,3.66,2.44,-3.66,
4,-3.33,-2.79,3.33,2.79,4.40,0.40,-4.40,-0.40,2.11,3.40,-2.11,-3.40,-3.44,1.80,3.44,-1.80,
5,4.24,1.22,-4.24,-1.22,2.68,-3.44,-2.68,3.44,-3.52,-2.57,3.52,2.57,-1.88,-3.37,1.88,3.37,
6,-2.59,-3.40,2.59,3.40,1.88,-3.62,-1.88,3.62,-3.92,1.74,3.92,-1.74,-3.37,-1.94,3.37,1.94,
7,3.20,-2.47,-3.20,2.47,-1.10,3.51,1.10,-3.51,1.87,-3.94,-1.87,3.94,1.67,4.30,-1.67,-4.30,
8,-3.52,-1.69,3.52,1.69,-0.82,-4.14,0.82,4.14,-0.92,3.88,0.92,-3.88,4.14,-1.56,-4.14,1.56,
9,-2.59,-2.87,2.59,2.87,1.91,-3.70,-1.91,3.70,1.48,3.80,-1.48,-3.80,-3.96,-1.23,3.96,1.23,
10,-3.34,-2.84,3.34,2.84,-3.63,0.32,3.63,-0.32,-2.36,-3.36,2.36,3.36,4.33,1.25,-4.33,-1.25,
11,-3.47,2.04,3.47,-2.04,1.33,3.65,-1.33,-3.65,-4.12,-1.00,4.12,1.00,1.64,-3.31,-1.64,3.31,
12,-2.35,-3.19,2.35,3.19,3.35,2.57,-3.35,-2.57,-2.55,-2.36,2.55,2.36,-1.75,-3.87,1.75,3.87,
13,4.24,0.42,-4.24,-0.42,0.98,-3.76,-0.98,3.76,-2.44,-3.27,2.44,3.27,-3.14,2.64,3.14,-2.64,
14,-4.19,-1.64,4.19,1.64,2.46,-3.57,-2.46,3.57,3.73,0.40,-3.73,-0.40,-0.99,-3.82,0.99,3.82,
15,3.59,2.60,-3.59,-2.60,-2.31,2.96,2.31,-2.96,-2.86,-1.95,2.86,1.95,-0.95,3.46,0.95,-3.46,
16,-3.14,-2.76,3.14,2.76,-2.06,-2.85,2.06,2.85,-3.57,0.24,3.57,-0.24,2.08,-2.65,-2.08,2.65,
17,2.32,-3.11,-2.32,3.11,-1.52,-3.78,1.52,3.78,-1.28,3.47,1.28,-3.47,4.13,0.24,-4.13,-0.24,
18,3.46,2.57,-3.46,-2.57,-1.88,-3.35,1.88,3.35,-2.72,-3.18,2.72,3.18,1.03,-4.37,-1.03,4.37,
